,Duration,Magnitude,%_users,Outflow_drought_min,Outflow_10th,%_users_36,Magnitude_36,%_users_37,Magnitude_37,%_users_38,Magnitude_38,%_users_39,Magnitude_39,%_users_45,Magnitude_45,%_users_50,Magnitude_50,%_users_51,Magnitude_51,%_users_52,Magnitude_52,%_users_53,Magnitude_53,%_users_70,Magnitude_70,%_users_72,Magnitude_72,Classification
117,0,7.0,59.0,37240.44250449419,45179.91043639909,43.0,1.0,54.0,2.0,47.0,4.0,44.0,7.0,61.0,8.0,69.0,7.0,60.0,3.0,20.0,1.0,56.0,10.0,80.0,12.0,87.0,18.0,History
118,0,7.0,62.0,31051.67576712717,39655.23845872679,61.0,2.0,54.0,2.0,47.0,5.0,52.0,7.0,58.0,9.0,72.0,8.0,67.0,4.0,20.0,1.0,61.0,10.0,80.0,11.0,85.0,16.0,Paleo
119,0,8.0,71.0,32090.7336988476,43831.013717944006,71.0,3.0,58.0,3.0,58.0,5.0,60.0,8.0,61.0,9.0,86.0,8.0,84.0,5.0,20.0,1.0,67.0,10.0,80.0,12.0,89.0,18.0,Paleo
120,0,6.0,61.0,37462.80596902561,41148.68370227123,46.0,2.0,54.0,2.0,47.0,4.0,52.0,7.0,61.0,7.0,72.0,7.0,60.0,3.0,20.0,1.0,61.0,10.0,80.0,11.0,89.0,15.0,Encompassing
121,0,6.0,62.0,31621.359336457197,36631.11409002312,57.0,2.0,50.0,2.0,49.0,4.0,56.0,6.0,61.0,7.0,66.0,6.0,63.0,3.0,20.0,0.0,61.0,9.0,80.0,10.0,87.0,14.0,Encompassing
122,0,8.0,59.0,24925.45642487455,27695.32022978793,43.0,2.0,42.0,2.0,45.0,5.0,60.0,8.0,61.0,8.0,66.0,8.0,58.0,4.0,20.0,1.0,67.0,11.0,80.0,12.0,89.0,17.0,Encompassing
123,0,7.0,62.0,25984.92477993963,30828.17478567987,50.0,2.0,54.0,2.0,50.0,4.0,60.0,7.0,61.0,8.0,72.0,7.0,58.0,4.0,20.0,1.0,56.0,10.0,80.0,11.0,91.0,15.0,Encompassing
124,0,7.0,70.0,25514.392178138994,34689.03276689532,71.0,2.0,58.0,2.0,54.0,5.0,64.0,7.0,61.0,8.0,86.0,7.0,79.0,4.0,20.0,1.0,72.0,10.0,80.0,10.0,91.0,15.0,Encompassing
125,0,7.0,65.0,30105.47434531079,32647.020175651443,64.0,2.0,54.0,2.0,47.0,4.0,60.0,7.0,61.0,8.0,79.0,7.0,65.0,3.0,20.0,1.0,67.0,10.0,80.0,10.0,91.0,15.0,Encompassing
126,0,9.0,66.0,14786.138583812379,20993.658931770224,68.0,3.0,54.0,3.0,53.0,5.0,60.0,9.0,61.0,9.0,76.0,9.0,67.0,5.0,20.0,1.0,67.0,11.0,80.0,14.0,91.0,19.0,Encompassing
127,0,6.0,63.0,22429.053314754015,27211.15420034834,57.0,2.0,54.0,2.0,49.0,4.0,60.0,7.0,61.0,7.0,76.0,6.0,60.0,4.0,20.0,1.0,67.0,9.0,80.0,10.0,89.0,14.0,Encompassing
128,0,8.0,62.0,14215.504000014585,21387.25976709755,50.0,3.0,50.0,2.0,46.0,5.0,60.0,8.0,58.0,9.0,72.0,8.0,65.0,5.0,20.0,1.0,61.0,11.0,80.0,13.0,91.0,19.0,Encompassing
129,0,7.0,65.0,24005.58243859745,28598.12233456046,64.0,2.0,54.0,2.0,49.0,4.0,60.0,7.0,61.0,8.0,79.0,7.0,65.0,4.0,20.0,1.0,67.0,10.0,80.0,10.0,89.0,15.0,Encompassing
130,0,7.0,73.0,19613.417713902603,27329.771237556244,75.0,3.0,58.0,2.0,61.0,5.0,64.0,7.0,65.0,8.0,86.0,7.0,79.0,4.0,80.0,1.0,89.0,10.0,80.0,11.0,89.0,16.0,Encompassing
131,0,5.0,50.0,30074.617564601984,36007.39168303511,25.0,1.0,17.0,1.0,38.0,3.0,40.0,6.0,58.0,6.0,66.0,3.0,49.0,1.0,20.0,0.0,67.0,8.0,80.0,7.0,81.0,12.0,Encompassing
132,0,6.0,55.0,23283.562633485584,27387.865023283535,43.0,1.0,25.0,2.0,39.0,4.0,44.0,7.0,61.0,8.0,69.0,6.0,58.0,2.0,20.0,0.0,61.0,10.0,80.0,10.0,83.0,16.0,Encompassing
