,mu0,sigma0,mu1,sigma1,p00,p11,Ensemble
71,0.9886140167351397,1.7154905228064787,0.9940002241606442,1.0579167149917905,-0.3871120018990657,0.17232395165965897,Reconstruction + Noise
72,0.98980713589328,1.6122022173437798,0.9958204878004201,1.0455131433810951,-0.44894061494848914,0.09303485859048521,Reconstruction + Noise
73,0.9922024038523644,1.7835518768612744,0.9948228235504603,1.0424266469035568,-0.5748979920300195,0.07458370412870408,Reconstruction + Noise
74,0.9916392111691935,1.6092475720791277,0.9962335981998319,0.9857803625457539,-0.40979191952281807,0.08305061051089191,Reconstruction + Noise
75,0.9873512899833569,1.7910858762541892,0.9944728880829519,1.0330467988262542,-0.5120752880607979,0.16232803558031472,Reconstruction + Noise
76,0.9815746754029265,2.1357774974762362,0.9932632937824789,1.0915370009080572,-0.629839315748205,0.22196381741254467,Reconstruction + Noise
77,0.983234322543911,1.7503502830440616,0.9945716028515967,1.0928097585622658,-0.5427578336414844,0.18692488241224814,Reconstruction + Noise
78,0.9850219922774969,1.9736705407741393,0.9923415242253125,1.0914247465298543,-0.5826133025651573,0.19897917375371332,Reconstruction + Noise
79,0.9875243671783541,1.7806868497998984,0.9942403515002183,1.0695957467902388,-0.39955087729567307,0.17111191065551135,Reconstruction + Noise
80,0.9765594881292102,1.892370384276363,0.9924811472537669,1.0952100696373803,-0.6785254559960523,0.21885410303649389,Reconstruction + Noise
81,0.9879278441408517,1.8164553243356047,0.9949120701881344,0.9365230213822313,-0.5382761528842801,0.1299371582012434,Reconstruction + Noise
82,0.9790672781820847,1.8331883824654072,0.9927818022189979,1.0514637589806972,-0.6674655194510515,0.20202803442477824,Reconstruction + Noise
83,0.9764382343179696,2.0754942014679276,0.9914653780391174,1.1206984193808536,-0.6784739498305835,0.23438894681260558,Reconstruction + Noise
84,0.9927729594739276,1.7198630178835828,0.99448421208258,0.9769415941596392,-0.4857341929132647,0.03790184115691231,Reconstruction + Noise
85,0.9724550809018322,1.8280186917647623,0.9917314709333761,1.0300081765809612,-0.6791068760970883,0.2259139511025856,Reconstruction + Noise
86,0.9872866651536335,1.7661904682289504,0.994453225646978,1.065365440119849,-0.541548137703367,0.1378566914095335,Reconstruction + Noise
87,0.9887965420802215,1.7990955506953838,0.9947556093128644,0.9958053850104044,-0.37356572279224803,0.15269906174613168,Reconstruction + Noise
88,0.9837586533530616,1.9239231018557394,0.994858796630665,1.0047431995460459,-0.5913818537040588,0.14743887508267106,Reconstruction + Noise
89,0.9891607078665366,1.8581047437574787,0.9956117247403831,0.9941787879990125,-0.3700512350769659,0.16645848146327402,Reconstruction + Noise
90,0.9837552515349061,1.6739669802335964,0.9931821914061024,1.0224291582105745,-0.5212625000908464,0.18703024631979992,Reconstruction + Noise
91,0.9948954669101945,1.5386531617539925,0.9982636966517813,0.7969860761247629,-0.3343109975675009,0.004434319980533341,Reconstruction + Noise
92,0.9881074644210243,1.8053773565621738,0.9946833377500398,1.0316169351346043,-0.48136004163147855,0.1640154401289431,Reconstruction + Noise
93,0.9863098328843422,1.8879338389045455,0.9935682625376918,0.9983854643047401,-0.5919096883597963,0.16283262463913806,Reconstruction + Noise
94,0.9775309248345417,2.2008578748159597,0.9924674046012462,1.123487072397819,-0.6790450391456508,0.22855906971020423,Reconstruction + Noise
95,0.992856735341411,1.642291331743253,0.9961127925807536,0.9761085592083827,-0.48411103985529047,0.06392762572269872,Reconstruction + Noise
96,0.9902097978396703,1.7367787319477808,0.9941593062184898,1.0067985089977862,-0.43422164844393973,0.12273176095386107,Reconstruction + Noise
97,0.9742659315232811,2.0145337414870754,0.9929478067437013,1.0923518364035416,-0.679016797386863,0.23919053042813765,Reconstruction + Noise
98,0.9809687803210403,1.9461175271527873,0.9925033856253608,1.092033590145978,-0.5329032724961742,0.20373577100881768,Reconstruction + Noise
99,0.9842283913626506,1.9154586115479164,0.9927477461348159,1.0403591405518224,-0.576154051381683,0.16040367158170366,Reconstruction + Noise
100,0.9867849018980455,1.8261410545189207,0.9943931883898944,1.023364893187021,-0.5295046460042374,0.1277678117478913,Mean Reconstruction + Noise
101,0.9898813598550781,1.6721022341481089,0.9952390433465599,0.8327556284377619,-0.501049591937109,0.13095789019507065,Reconstruction
102,1.0,1.0,1.0,1.0,0.0,0.0,Observations
